clave,descripcion
Albahaca Genovesa Maceta|S,"Mata compacta de albahaca genovesa, con hojas anchas, tiernas y ligeramente abombadas que desprenden su aroma al rozarlas. Trae a la cocina el olor de la huerta y ganas de cocinar despacio."
Aloe Vera Mini|S,"Aloe compacto de hojas carnosas y puntiagudas, con bordes dentados y motas claras, que crecen en roseta. Una presencia tranquila y resistente que acompaña en cualquier rincón con luz."
Anthurium|Único,"Flor de anthurium de espata brillante en forma de corazón, con el espádice erguido en el centro. Tiene un aire escultórico que atrae la mirada allí donde se coloca."
Arco Floral Boda Girasoles y Margaritas|XL,"{n} flores entre girasoles y margaritas que trepan por el arco en guirnalda abierta, con los girasoles marcando el ritmo. Enmarca el momento con alegría de campo y luz de verano."
Arco Floral Boda Rosas y Eucalipto|XL,"{n} rosas entrelazadas con ramas de eucalipto, que recorren el arco y caen suavemente por los laterales. Un marco romántico y fresco bajo el que todo parece más íntimo."
Arreglo Condolencias Lujo|L,"{n} flores entre lirios, rosas y crisantemos, compuestas en un arreglo amplio y equilibrado con follaje de acompañamiento. Expresa cercanía y respeto con la calma de lo bien cuidado."
Arreglo Floral|M,"{n} flores entre gerberas, margaritas y rosas, agrupadas en un arreglo bajo y redondeado entre hojas. Da vida a una mesa o un mostrador con aire fresco y ordenado."
Arreglo Floral Eventos|S,"{n} flores entre girasoles, margaritas y espigas de lavanda, mezcladas con soltura en un arreglo recogido y sencillo. Un toque de buen humor que alegra una mesa o un mostrador."
Arreglo Floral Eventos|M,"{n} flores entre girasoles, margaritas y espigas de lavanda, mezcladas con soltura en un arreglo lleno de textura. Contagia buen humor y hace que cualquier espacio se sienta acogedor."
Arreglo Floral Eventos|L,"{n} flores entre girasoles, margaritas y espigas de lavanda forman un arreglo amplio y abundante, lleno de movimiento. Un despliegue de alegría que recibe con buen humor a todo el que entra."
Arreglo Orquídeas|S,"{n} tallos de orquídea con sus flores alineadas en arco, reunidos en un arreglo sencillo entre hojas anchas y brillantes. Un detalle refinado que aporta calma a cualquier rincón."
